"time","inserts_per_minute"
"2020-09-17 13:37:00","6053"
"2020-09-17 13:36:00","6020"
"2020-09-17 13:35:00","6092"
"2020-09-17 13:34:00","5757"
"2020-09-17 13:33:00","3457"
"2020-09-17 13:32:00","2705"
"2020-09-17 13:31:00","1893"
"2020-09-17 13:30:00","1886"
"2020-09-17 13:29:00","2007"
"2020-09-17 13:28:00","1980"
"2020-09-17 13:27:00","1284"
"2020-09-17 13:26:00","8"
